Date,Year,Quarter,Date2,US GDP (SAAR),Atlas Predicted (SAAR),,,,,,,,,,,,
2023-10-01,2023,4,2023 Q4,3.2%,3.9%,,,,,,,,,,,,
2024-01-01,2024,1,2024 Q1,1.6%,2.1%,,,,,,,,,,,,
2024-04-01,2024,2,2024 Q2,3.0%,2.7%,,,,,,,,,,,,
2024-07-01,2024,3,2024 Q3,3.1%,2.7%,,,,,,,,,,,,
2024-10-01,2024,4,2024 Q4,2.5%,2.8%,,,,,,,,,,,,
2025-01-01,2025,1,2025 Q1,-0.5%,0.6%,,,,,,,,,,,,
2025-04-01,2025,2,2025 Q2,3.8%,4.3%,,,,,,,,,,,,
2025-07-01,2025,3,2025 Q3,4.4%,2.4%,,,,,,,,,,,,
2025-10-01,2025,4,2025 Q4,0.7%,5.2%,,,,,,,,,,,,
2026-01-01,2026,1,2026 Q1,,2.2%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
